"node","eqn"
"IME1","(((((1 - 1 * fAct(TUP1, 0.523200325248763, 1.43303599392297)) + (1 * fAct(IME4, 0.582922378415242, 1.66387398123741) * 1 * fAct(RIM101, 0.58840044378303, 1.64065293827094)) - (1 - 1 * fAct(TUP1, 0.523200325248763, 1.43303599392297)) * (1 * fAct(IME4, 0.582922378415242, 1.66387398123741) * 1 * fAct(RIM101, 0.58840044378303, 1.64065293827094))) + ((1 - 1 * fAct(RME1, 0.570710456650704, 1.76083944331389)) + (1 - 1 * fAct(IME1_UME6, 0.592188944248483, 1.53421386339469)) - (1 - 1 * fAct(RME1, 0.570710456650704, 1.76083944331389)) * (1 - 1 * fAct(IME1_UME6, 0.592188944248483, 1.53421386339469))) - ((1 - 1 * fAct(TUP1, 0.523200325248763, 1.43303599392297)) + (1 * fAct(IME4, 0.582922378415242, 1.66387398123741) * 1 * fAct(RIM101, 0.58840044378303, 1.64065293827094)) - (1 - 1 * fAct(TUP1, 0.523200325248763, 1.43303599392297)) * (1 * fAct(IME4, 0.582922378415242, 1.66387398123741) * 1 * fAct(RIM101, 0.58840044378303, 1.64065293827094))) * ((1 - 1 * fAct(RME1, 0.570710456650704, 1.76083944331389)) + (1 - 1 * fAct(IME1_UME6, 0.592188944248483, 1.53421386339469)) - (1 - 1 * fAct(RME1, 0.570710456650704, 1.76083944331389)) * (1 - 1 * fAct(IME1_UME6, 0.592188944248483, 1.53421386339469))))) * 1 - 1 * IME1) / 1"
"IME4","input gene"
"INO2","(((1 * fAct(UME6, 0.41439627003856, 1.55551468151156) * 1 * fAct(INO2_INO4, 0.579065960878506, 1.46183082838776))) * 1 - 1 * INO2) / 1"
"INO2_INO4","((1 * fAct(UME6, 0.438519080216065, 1.76779175380012)) * 1 - 1 * INO2_INO4) / 1"
"INO4","input gene"
"IXR1","input gene"
"LEU3","input gene"
"MAC1","input gene"
"MCM1","((1 * fAct(SNF2_SWI1, 0.512265477608889, 1.74703971097246)) * 1 - 1 * MCM1) / 1"
"MET4","input gene"
"MOT3","input gene"
"MSN1","input gene"
"MTH1","((1 * fAct(GAL4, 0.597826851578429, 1.66295876816381)) * 1 - 1 * MTH1) / 1"
"NRG1","input gene"
"PHO2","input gene"
"PHO23","input gene"
"PHO4","input gene"
"POP2","input gene"
"RAP1","((1 * fAct(REB1, 0.515985942399129, 1.67883182815742)) * 1 - 1 * RAP1) / 1"
"REB1","input gene"
"RFX1","input gene"
"RGT1","input gene"
"RIM101","input gene"
"RME1","(((((1 - 1 * fAct(UME6, 0.450752911856398, 1.66269753784873)) + ((1 * fAct(ACE2, 0.445982483727857, 1.6009772796277) * 1 * fAct(SIN3, 0.454754902189598, 1.4500708463043)) * 1 * fAct(SWI5, 0.525321142841131, 1.39077332096873)) - (1 - 1 * fAct(UME6, 0.450752911856398, 1.66269753784873)) * ((1 * fAct(ACE2, 0.445982483727857, 1.6009772796277) * 1 * fAct(SIN3, 0.454754902189598, 1.4500708463043)) * 1 * fAct(SWI5, 0.525321142841131, 1.39077332096873))) + (1 - 1 * fAct(TUP1, 0.501031537540257, 1.66632901664125)) - ((1 - 1 * fAct(UME6, 0.450752911856398, 1.66269753784873)) + ((1 * fAct(ACE2, 0.445982483727857, 1.6009772796277) * 1 * fAct(SIN3, 0.454754902189598, 1.4500708463043)) * 1 * fAct(SWI5, 0.525321142841131, 1.39077332096873)) - (1 - 1 * fAct(UME6, 0.450752911856398, 1.66269753784873)) * ((1 * fAct(ACE2, 0.445982483727857, 1.6009772796277) * 1 * fAct(SIN3, 0.454754902189598, 1.4500708463043)) * 1 * fAct(SWI5, 0.525321142841131, 1.39077332096873))) * (1 - 1 * fAct(TUP1, 0.501031537540257, 1.66632901664125)))) * 1 - 1 * RME1) / 1"
"ROX1","((((1 - 1 * fAct(TUP1, 0.403029022272676, 1.57440791471163)) + 1 * fAct(HAP1, 0.560770230181515, 1.73200784488581) - (1 - 1 * fAct(TUP1, 0.403029022272676, 1.57440791471163)) * 1 * fAct(HAP1, 0.560770230181515, 1.73200784488581))) * 1 - 1 * ROX1) / 1"
"RPH1","input gene"
"RTG1_RTG3","input gene"
"RTG2","input gene"
"RTG3","input gene"
"SDS3","input gene"
"SIN3","input gene"
"SIP4","input gene"
"SKO1","input gene"
