gene,h_cent
C7orf55-LUC7L2 /// LUC7L2,0
C9,0
C9orf116,0
C9orf3,0
CA12,0
CA8,0
CAAP1,0
CAB39L,0
CABIN1,0
CACNA1C,0
CACNA1D,0
CACNB3,0
CACNB4,0
CACNG4,0
CACYBP,0
CADM3-AS1,0
CALCOCO1,0
CALCOCO2,0
CALM1,0
CALR,0
CAMK1,0
CAMK2A,0
CAMKMT,0
CAMLG,0
CAMSAP1,0
CAMSAP2,0
CAMTA2,0
CAND1,0
CANT1,0
CANX,0
CAP1,0
CAPN11,0
CAPN3,0
CAPN5,0
CAPN7,0
CAPRIN1,0
CAPRIN2,0
CAPZA1,0
CAPZA2,0
CARD10,0
CARD14,0
CARD8,0
CARHSP1,0
CARS2,0
CASC1,0
CASKIN2,0
CASP5,0
CASP6,0
CASP7,0
CASP8,0
CASP9,0
CASQ2,0
CAST,0
CAT,0
CAV1,0
CAV2,0
CBFA2T2,0
CBL,0
CBLB,0
CBLL1,0
CBR3,0
CBR4,0
CBX7,0
CCDC102B,0
CCDC121,0
CCDC130,0
CCDC28A,0
CCDC28B,0
CCDC30,0
CCDC40,0
CCDC57,0
CCDC59,0
CCDC68,0
CCDC7,0
CCDC81,0
CCDC82,0
CCDC85C,0
CCDC87,0
CCDC88A,0
CCDC88C,0
CCDC90B,0
CCDC93,0
CCDC94,0
CCL24,0
CCNB1IP1,0
CCNB2,0
CCND1,0
CCND2,0
CCNE1,0
CCNF,0
CCNG1,0
CCNG2,0
CCNH,0
CCNJ,0
CCNJL,0
CCNL1,0
CCNT2,0
CCPG1,0
CCR1,0
CCR7,0
CCS,0
CCT2,0
CCT3 /// LOC101927137,0
CCT4,0
CCT5,0
CD14,0
CD163,0
CD164,0
CD22,0
CD2BP2,0
CD300A,0
CD302 /// LY75 /// LY75-CD302,0
CD36,0
CD37,0
CD38,0
CD44,0
CD47,0
CD52,0
CD53,0
CD55,0
CD59,0
CD6,0
CD63,0
CD68 /// LOC101928634 /// SNORA67,0
CD72,0
CD80,0
CD81,0
CD86,0
CD8A,0
CD9,0
CD96,0
CDADC1,0
CDC14A,0
CDC14B,0
CDC20,0
CDC25B,0
CDC27,0
CDC40,0
CDC42EP2,0
CDC42EP4,0
CDC42SE1,0
CDC5L,0
CDC6,0
CDC73,0
CDCA3,0
CDH1,0
CDH13,0
CDH2,0
CDH3,0
CDH5,0
CDHR2,0
CDIPT,0
CDK10,0
CDK12,0
CDK14,0
CDK16,0
CDK18,0
CDK19,0
CDK2,0
CDK20,0
CDK2AP1,0
CDK2AP2,0
CDK4,0
CDK5RAP1,0
CDK5RAP2,0
CDK5RAP3,0
CDK6,0
CDK8,0
CDKAL1,0
CDKL1,0
CDKL2,0
CDKL3,0
CDKL5,0
CDKN1A,0
CDKN2C,0
CDR2 /// LOC101060399,0
CDR2L,0
CDS1,0
CEACAM1,0
CEACAM6,0
CELF1,0
CELSR3-AS1,0
CEMIP,0
CEMP1,0
CENPF,0
CENPJ,0
CENPQ,0
CENPT,0
CEP104,0
CEP112,0
CEP152,0
CEP162,0
CEP164,0
CEP192,0
CEP250,0
CEP290,0
CEP350,0
CEP41,0
CEP55,0
CEP57,0
CEP63,0
CEP70,0
CEP76,0
CEP83,0
CEP85,0
CERS6,0
CES2,0
CETN2,0
CETN3,0
CETP,0
CFDP1,0
CFH,0
CFL1,0
CFLAR,0
CGGBP1,0
CGRRF1,0
CHCHD3,0
CHCHD7,0
CHD1L,0
CHD2,0
CHD3,0
CHD4,0
CHD7,0
CHD8,0
CHD9,0
CHEK2,0
CHI3L1,0
CHI3L2,0
CHIC2,0
CHIT1,0
CHKA,0
CHM,0
CHMP5,0
CHMP7,0
CHN1,0
CHN2,0
CHP1,0
CHPT1,0
CHRD,0
CHRM3,0
CHRM4,0
CHRNA5,0
CHRNB1,0
CHST12,0
CHURC1-FNTB /// FNTB,0
CIB1,0
CIC,0
CIDEB,0
CIITA,0
CINP,0
CISD1,0
CIT /// MIR1178,0
CIZ1,0
CKAP2,0
CKS1B,0
CLASP1,0
CLASP2,0
CLCA2,0
CLCN3,0
CLCN4,0
CLDN22 /// WWC2,0
CLDN4,0
CLDN7,0
CLDN9,0
CLDND1,0
CLEC10A,0
CLEC16A,0
CLEC3B /// EXOSC7,0
CLINT1,0
CLIP1,0
CLIP2,0
CLIP4,0
CLK3,0
CLK4,0
CLMN,0
CLN3,0
CLN5,0
CLN6,0
CLNS1A,0
CLOCK,0
CLPTM1,0
CLPX,0
CLSPN,0
CLSTN1,0
CLSTN2,0
CLSTN3,0
CLTA,0
CLTC,0
CLTCL1,0
CLUAP1,0
CLUHP3,0
CLUL1,0
CNIH3,0
CNKSR2,0
CNNM2,0
CNOT2,0
CNOT4,0
CNOT8,0
CNPPD1,0
CNPY2,0
CNPY3,0
CNPY4,0
CNR1,0
CNTD2,0
CNTN1,0
CNTNAP2,0
CNTRL,0
COA4,0
COBL,0
COBLL1,0
COG2,0
COG4,0
COG5,0
COG7,0
COL16A1,0
COL17A1,0
COL1A1,0
COL3A1,0
COL4A2,0
COL4A3BP,0
COL4A5,0
COL5A1,0
COL5A2,0
COL6A1,0
COL8A2,0
COMMD3,0
COPB1,0
COPB2,0
COPE,0
COPS3,0
COPS4,0
COPS7A,0
COPS7B,0
COPZ1,0
COQ3,0
COQ4,0
COQ6,0
COQ7,0
CORIN,0
CORO1A,0
CORO1C,0
CORO2A,0
COX11,0
COX16 /// SYNJ2BP-COX16,0
COX17 /// POPDC2,0
COX4I1,0
COX5A,0
COX6B1,0
COX7A2,0
COX7A2L,0
CP,0
CPEB3,0
CPNE1,0
CPOX,0
CPQ,0
CPS1,0
CPSF4,0
